median_nm,sigma_log,predicted_g_mean,predicted_g_std,median_pe,mean_pe,n_seeds
100,0.6,1.021962109709801,0.004704345064219794,0.022895588645892678,0.2476996366515086,5
150,0.6,1.045770007507936,0.00647726418784472,0.03894068031795185,0.5194737045765881,5
200,0.6,1.079823017713916,0.011529724029940703,0.06550773857633749,1.0268927214050838,5
250,0.6,1.1206796445485672,0.01854105143291191,0.1047425997228006,1.9601271048639703,5
300,0.6,1.1653134514823749,0.024773635286910057,0.1640768877385773,2.8214773817316425,5
400,0.6,1.273495229490252,0.039981730909931956,0.3536066388257827,6.326350083249315,5
500,0.6,1.3980028312464448,0.05255735790729798,0.6470671154764338,12.079630953512671,5
700,0.6,1.6674429249702445,0.07644836588635466,1.6585735767847243,31.875371745513252,5
1000,0.6,2.0867488397173153,0.10989681853030288,4.591643359886618,86.91404544345373,5
1500,0.6,2.7577054774482486,0.14624178388429354,14.58808550217076,278.9099353964755,5
2000,0.6,3.3600685441465727,0.16970649489396403,33.209158440399186,637.7644957760292,5
